instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_bin,hour_bin,cnt_bin
1,2011-01-01,Spring,2011,January,0,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.24,0.2879,0.81,0.0,3,13,16,dingin,subuh,rendah
2,2011-01-01,Spring,2011,January,1,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.22,0.2727,0.8,0.0,8,32,40,dingin,subuh,rendah
3,2011-01-01,Spring,2011,January,2,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.22,0.2727,0.8,0.0,5,27,32,dingin,subuh,rendah
4,2011-01-01,Spring,2011,January,3,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.24,0.2879,0.75,0.0,3,10,13,dingin,subuh,rendah
5,2011-01-01,Spring,2011,January,4,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.24,0.2879,0.75,0.0,0,1,1,dingin,subuh,rendah
6,2011-01-01,Spring,2011,January,5,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.24,0.2576,0.75,0.0896,0,1,1,dingin,subuh,rendah
7,2011-01-01,Spring,2011,January,6,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.22,0.2727,0.8,0.0,2,0,2,dingin,subuh,rendah
8,2011-01-01,Spring,2011,January,7,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.2,0.2576,0.86,0.0,1,2,3,dingin,pagi,rendah
9,2011-01-01,Spring,2011,January,8,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.24,0.2879,0.75,0.0,1,7,8,dingin,pagi,rendah
10,2011-01-01,Spring,2011,January,9,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.32,0.3485,0.76,0.0,8,6,14,sejuk,pagi,rendah
11,2011-01-01,Spring,2011,January,10,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.38,0.3939,0.76,0.2537,12,24,36,sejuk,pagi,rendah
12,2011-01-01,Spring,2011,January,11,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.36,0.3333,0.81,0.2836,26,30,56,sejuk,siang,rendah
13,2011-01-01,Spring,2011,January,12,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.42,0.4242,0.77,0.2836,29,55,84,sejuk,siang,rendah
14,2011-01-01,Spring,2011,January,13,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.72,0.2985,47,47,94,sejuk,siang,rendah
15,2011-01-01,Spring,2011,January,14,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.72,0.2836,35,71,106,sejuk,siang,rendah
16,2011-01-01,Spring,2011,January,15,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.44,0.4394,0.77,0.2985,40,70,110,sejuk,siang,rendah
17,2011-01-01,Spring,2011,January,16,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.42,0.4242,0.82,0.2985,41,52,93,sejuk,siang,rendah
18,2011-01-01,Spring,2011,January,17,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.44,0.4394,0.82,0.2836,15,52,67,sejuk,sore,rendah
19,2011-01-01,Spring,2011,January,18,No,Sunday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.42,0.4242,0.88,0.2537,9,26,35,sejuk,sore,rendah
20,2011-01-01,Spring,2011,January,19,No,Sunday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.42,0.4242,0.88,0.2537,6,31,37,sejuk,malam,rendah
21,2011-01-01,Spring,2011,January,20,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.4,0.4091,0.87,0.2537,11,25,36,sejuk,malam,rendah
22,2011-01-01,Spring,2011,January,21,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.4,0.4091,0.87,0.194,3,31,34,sejuk,malam,rendah
